company,job-title,level,sql,python,excel,tableau,power bi,remote,da,ds,country,ml,r
Ample Insight,Data Scientist,Associate,0,1,0,0,0,0,0,1,us,1,1
Vermillio,Machine Learning Engineer,Mid-Senior level,0,0,1,0,0,1,0,1,us,1,0
Sensorium Therapeutics,Biomedical Research Data Scientist,Mid-Senior level,1,1,1,0,0,0,0,1,us,1,0
Qualia,Data Scientist,Entry level,1,1,1,0,0,0,0,1,us,1,0
Stori,Data Scientist,Mid-Senior level,1,1,0,0,0,1,0,1,us,1,0
Milwaukee Brewers,Data Scientist,Entry level,0,1,1,0,0,0,0,1,us,0,1
UCLA Health,Data Scientist,Entry level,0,1,1,0,0,0,0,1,us,1,0
Acclaim Technical Services,Data Scientist (2023-0136),Mid-Senior level,0,1,0,0,0,0,0,1,us,1,0
Grupo Xcaret,Científico(a) de Datos,Entry level,0,0,0,0,0,0,0,1,us,0,0
"Aperio Global, LLC",Data Scientist,Mid-Senior level,1,1,1,0,0,0,0,1,us,1,0
Adame Services,Data Scientist,Mid-Senior level,1,1,0,0,0,0,0,1,us,1,0
Canacre,Data Scientist - Toronto,Entry level,0,1,1,0,0,0,0,1,us,1,0
Analytica,Senior Data Scientist,Mid-Senior level,1,1,0,0,0,1,0,1,us,1,1
Horizon Staffing 2003,Data Scientist,Mid-Senior level,1,1,0,0,0,0,0,1,us,1,0
SynergisticIT,Entry Level Data Scientist,Entry level,0,1,1,0,0,0,0,1,us,1,0
SynergisticIT,Entry Level Data Scientist,Entry level,0,1,1,1,0,0,0,1,us,1,0
Steneral Consulting,"Sr. Data Scientist || O’Fallon, MO (onsite required)",Mid-Senior level,1,1,0,0,0,0,0,1,us,1,1
Acclaim Technical Services,Data Scientist (2023-0126),Mid-Senior level,0,0,0,0,0,0,0,1,us,1,0
Indotronix Avani Group,"Job Opportunity for Data Scientist in Pittsburgh, PA location",Entry level,1,1,1,0,0,0,0,1,us,1,0
Brightside Health,Senior Data Scientist,Mid-Senior level,1,1,0,0,0,1,0,1,us,1,0
Vector Technologies LLC,Data Scientist,Mid-Senior level,0,0,0,0,0,1,0,1,us,0,0
Klar,Data Scientist,Mid-Senior level,1,1,1,0,0,1,0,1,us,1,0
Riverside Research,Artificial Intelligence / Machine Learning Engineer - Jr,Entry level,0,1,1,1,0,1,0,1,us,1,0
Nimble Gravity,Data Scientist,Mid-Senior level,1,1,1,0,0,1,0,1,us,1,0
Numerica Corporation,Research Scientist (multiple openings),Entry level,0,0,1,0,0,0,0,1,us,1,0
Lockheed Martin,Data Scientist Staff (Level 4),Entry level,0,0,0,0,0,0,0,1,us,0,0
Octaura,Data Scientist,Mid-Senior level,0,1,1,0,0,0,0,1,us,1,0
U.S. Securities and Exchange Commission,DATA SCIENTIST,Entry level,0,0,0,0,0,1,0,1,us,0,0
DeepRoute.ai,"Machine Learning Engineer, Planning, Prediction and Control",Entry level,0,0,0,0,0,0,0,1,us,1,0
StreetLight,"Data Scientist, Services",Not Applicable,1,1,0,0,0,1,0,1,us,1,0
Blue Water Thinking,Data Scientist,Mid-Senior level,0,0,0,0,1,0,0,1,us,1,0
SynergisticIT,Junior Data Scientist (Remote),Entry level,0,1,1,1,1,1,0,1,us,1,0
Energy Jobline,Data Scientist,Entry level,1,1,0,1,1,1,0,1,us,0,0
